año,pib_total,regimen_definitivo,regimen_especial
1991,881040.08200095,867580.62305726,13459.45894369
1992,1151917.87375807,1128430.36246177,23487.5112963
1993,1362412.38754916,1332331.50450176,30080.8830474
1994,1647124.68288852,1614607.68288852,32517.0
1995,2079862.88693841,2032203.10012261,47659.7868158
1996,2425725.55442445,2362209.43076559,63516.12365885
1997,2934156.51413611,2836722.4972258,97434.01691031
1998,3519453.78692975,3385656.070426,133797.71650375
1999,4072330.20017243,3887547.37804465,184782.82212778
2000,4627050.52547381,4397915.88947279,229134.63600102
2001,5254084.45422469,4996558.29963183,257526.15459287
2002,5965391.25967584,5645110.77877561,320280.48090023
2003,6885560.04373737,6514072.0305245,371488.01321287
2004,8150137.80104377,7686263.02383627,463874.7772075
2005,9577022.22686042,9029844.50855714,547177.71830329
2006,11613319.9908061,10913200.4603871,700119.53041898
2007,13889052.9111362,13062371.3287536,826681.58238265
2008,16208974.6985123,15312638.8077858,896335.89072652
2009,17626147.744796,16595955.0390455,1030192.70575052
2010,19802010.5927076,18566779.5489079,1235231.04379966
2011,21623524.5564809,20283290.2463687,1340234.31011217
2012,23752868.5692912,22302500.4252026,1450368.14408857
2013,25462954.6393527,23940074.2021547,1522880.43719809
2014,28001327.620471,26340207.29158,1661120.32889099
2015,30171918.8637184,28371954.0924947,1799964.77122376
2016,32056288.212048,29872980.8981901,2183307.31385791
2017,34343647.4976052,31319676.2806115,3023971.21699374
2018,36014718.708004,32624729.6171188,3389989.09088521
2019,37832149.7840879,34019713.8184096,3812435.96567822
2020,36495246.0817594,32259278.7041058,4235967.37765368
2021,40326625.9359246,35278576.0785429,5048049.85738171
2022,44810030.5713493,39244343.3738796,5565687.19746963
2023,47059272.1622801,40780243.2158944,6279028.94638572
2024,49115934.7426349,42430280.7898961,6685653.95273888
2025,51684158.8640886,44366777.3795423,7317381.48454632
2026,54625095.92078,46922178.7872529,7702917.13352713
